issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
CL,HD,18,True,18.696405181621582,15.4943,0.021709769923677423,0.18097871195848894,0.08559577484620016
PG,T,19,True,18.421786931689727,15.4943,0.023227059124322907,0.1842282324510842,0.09363535476986395
INTC,KO,20,True,18.23660036106312,15.4943,-0.024075865874588764,0.1860026148349989,-0.09908452255741894
SBUX,T,19,True,19.50611474971608,15.4943,-0.024675473638256534,0.18723862379612194,-0.10289329594522328
HD,MCD,20,True,29.67879232530484,15.4943,0.02473277887706478,0.18735602232642312,0.10208169204672848
KMI,PEP,19,True,15.7410235368631,15.4943,0.024944394797158972,0.18778847163218781,0.10247420240007654
AXP,SBUX,19,True,24.25555238278493,15.4943,0.025347980402778775,0.18860859234357794,0.10245292665872847
HD,PG,19,True,15.751265009049401,15.4943,0.032237297304990135,0.20181124002447737,0.12589452298273152
UNH,WFC,19,True,33.81721673957757,15.4943,-0.03244867914740479,0.20219599258246673,-0.12724178478498188
ORCL,T,20,True,15.666307423422897,15.4943,0.03274661694565961,0.20273652462163047,0.13600966888926322
SBUX,UNH,19,True,40.50784500728295,15.4943,-0.03315636625329432,0.20347658939431487,-0.1293465120837676
HD,KMI,19,True,26.775859897187498,15.4943,0.03400711706426294,0.20500123126499525,0.13782510989954008
MCD,VZ,21,True,15.964065784310083,15.4943,-0.03544946418651884,0.20755102301183287,-0.15238423536191914
KMI,UPS,19,True,27.820415841624886,15.4943,0.03912064634166684,0.21386138350828632,0.15765868889458803
MCD,SBUX,19,True,21.859689335401622,15.4943,0.040332883487227744,0.21589414235283982,0.16066463496468067
KMI,ORCL,19,True,19.543260608360264,15.4943,0.04215396715407327,0.2189051870127415,0.16925019225954527
KMI,KO,19,True,18.42774168015769,15.4943,0.04262182233532624,0.21967091966188396,0.17108588344670753
AXP,TGT,19,True,17.15950119158083,15.4943,0.04282893460507564,0.22000891300173164,0.17648542658469482
AXP,KMI,19,True,34.275934821680956,15.4943,0.043345172301847035,0.22084879439773922,0.17506933720887444
AXP,MCD,19,True,29.137221423348954,15.4943,0.04443099183004276,0.22260362420387406,0.17792013989426103
PG,SBUX,19,True,15.914960085481587,15.4943,0.04529125289927505,0.2239830404894516,0.18068504409854225
C,TAP,18,True,20.633610600571526,15.4943,0.0471091169986911,0.22686797937954437,0.17849289916863398
AXP,TMO,19,True,22.66782585061536,15.4943,0.04825078990310766,0.22866008967068105,0.1991013945364091
CAT,KO,19,True,17.094146420383364,15.4943,-0.048951181869514415,0.22975235582073608,-0.1982730037208168
KMI,PG,19,True,25.978103414567084,15.4943,0.04947736518610707,0.23056947698458838,0.1991970560608157
CAT,KMI,19,True,17.054105840718464,15.4943,0.0502244908793513,0.23172473048370876,0.20142974075678788
T,WFC,19,True,17.356179298116935,15.4943,-0.05068007058067725,0.23242637777294264,-0.20284647772459422
KMI,SBUX,19,True,29.905568631094642,15.4943,0.0541969709845916,0.2377757147077031,0.21970289073031982
BA,KMI,19,True,20.213280068309928,15.4943,0.05555499018584534,0.2398116222156692,0.22265724292174122
KMI,UNH,19,True,34.01110506823582,15.4943,0.05673321911156348,0.24156558871516018,0.22592761079463683
MCD,PG,19,True,22.36536539948777,15.4943,0.05720152900208375,0.2422596539236408,0.22919323018531537
