issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
ABBV,UNH,20,True,16.183622727048622,15.4943,-0.08367819954240518,0.2794073138663878,-0.34148436680636307
ABBV,UPS,19,True,15.682385776421128,15.4943,-0.1513673181081041,0.36712412965785224,-0.6426406412803054
ABBV,VZ,20,True,23.054247380018126,15.4943,-0.001629889070608015,0.1079795773214752,-0.006767249028237678
ABBV,WFC,19,True,17.55141553599922,15.4943,-0.20336747712020548,0.4351914776092504,-0.8296991865011519
AEP,AXP,18,True,17.51541153673256,15.4943,-0.19752395233090891,0.4273686022817042,-0.8287682026322168
AEP,BA,18,True,17.233118546936602,15.4943,-0.272459680146181,0.5330816204539272,-1.1208173386175155
AEP,C,18,True,22.49670534406878,15.4943,-0.07347811376701792,0.26549554120988106,-0.29225684569063176
AEP,CAT,18,False,14.522250650257226,15.4943,,,
AEP,CL,18,True,25.791192651417838,15.4943,-0.15778533884507512,0.3753803161686295,-0.6346714777424751
AEP,CSCO,18,False,13.015174757357332,15.4943,,,
AEP,GS,18,True,16.702246819504474,15.4943,-0.09273995848809777,0.29148866714634597,-0.380504773457851
AEP,HD,18,False,14.514970631808671,15.4943,,,
AEP,HON,18,True,22.06895724410969,15.4943,-0.46216660769376283,0.8980569983729362,-2.0186685882543514
AEP,HUM,18,True,18.595516137293455,15.4943,-0.22927046895432743,0.4706153530423232,-0.9969009689666996
AEP,INTC,18,True,24.016344270119323,15.4943,-0.16505627810559256,0.3847677999141988,-0.6486957801141731
AEP,JNJ,18,True,26.168961097004782,15.4943,0.07017109089455553,0.2608936537270833,0.2865867268004263
AEP,KMI,18,True,22.468182200450023,15.4943,-0.2253085673933908,0.4651106714430099,-0.9080551966657981
AEP,KO,18,True,22.368368970497773,15.4943,-0.1929530928427124,0.4212871464558055,-0.7897789700100222
AEP,MCD,18,True,28.737132446728722,15.4943,-0.2156613365143017,0.45184250399262255,-0.9149650759588965
AEP,MSFT,18,True,38.60962367197949,15.4943,-0.2801473632798743,0.5447388039994194,-1.3203117825532198
AEP,NSC,18,True,25.133589610238957,15.4943,-0.12455728734254229,0.33276556156728976,-0.48951281568996413
AEP,ORCL,18,True,17.82126997535466,15.4943,-0.2586463539983675,0.5125715239437856,-1.0591749414942353
AEP,PEP,18,True,15.721679717713348,15.4943,-0.1421395597617853,0.3552877527448866,-0.6168362104866346
AEP,PG,18,True,18.2568799007856,15.4943,-0.26758100970156395,0.5257755236480324,-1.1276795492686873
AEP,SBUX,18,True,15.496610810574138,15.4943,-0.21757408667696565,0.4544584144595853,-0.9021999415088571
AEP,T,18,True,32.82220720809265,15.4943,-0.2646156105609614,0.5213683002905436,-1.2818457527591136
AEP,TAP,18,True,16.143740684180923,15.4943,-0.26772519171022996,0.525990450939907,-1.1306643137923273
AEP,TGT,18,True,16.173939525892287,15.4943,-0.34868806335988956,0.6578985813445193,-1.5050838200888335
AEP,TMO,18,True,18.389204198873387,15.4943,-0.23270700404952938,0.4754177048499955,-0.9576024192359228
AEP,UNH,18,True,26.18744510198876,15.4943,0.05874211531252658,0.24453100468915737,0.23333119198154662
AEP,UPS,18,True,18.775358114281985,15.4943,-0.3167898553579356,0.6029901224262542,-1.4673687634208703
AEP,VZ,18,True,21.084943926139907,15.4943,-0.23265579796337235,0.4753459552296951,-0.9379619525552718
AEP,WFC,18,True,20.710292815786932,15.4943,-0.29300973535171376,0.5646592761811988,-1.2217803260462814
